Key,id,Spanish(es),Spanish (Ecuador)(es-EC),French(fr),English(en)
U001,1,Iniciar,Kallariy,Démarrer,Start
U002,2,Créditos,Créditos,Crédits,Credits
U003,3,Idioma,Shimi,Langue,Language
U004,4,Entrar,Yaykuy,Entrer,Enter
U005,5,Regresar,Kutiy,Retour,Back
U006,6,Título Menú,Suti,Titre du Menu,Menu Title
U007,7,Subtítulo,Subtítulo,Sous-titre du Menu,Subtitle
U008,8,Exterior del palacio,Chawpi Lliwra,Extérieur du Palais,Palace Exterior
U009,9,Puntos de interes,Kuyay Ukllaykuna,Points d’intérêt,Points of Interest
U010,10,"Presiona ""Tab"" para alternar al modo de control accesible.","Presiona ""Tab"" para alternar al modo de control accesible","Appuyez sur ""Tab"" pour alterner vers le mode de contrôle accessible","Press ""Tab"" to toggle accessible control mode"
U011,11,Usa el teclado numérico para controlar la experiencia.,Ishi kaypimi numérico rikch’ariykuna ruwachik.,Utilisez le pavé numérique pour contrôler l'expérience.,Use the numeric keypad to control the experience.
U012,12,Historia,Willakuy,Histoire,Story
U013,13,Fachada (frontal),Ñawpa Uyana Wasi,Façade avant,Front Facade
U014,14,Piedra Andesita,Rumi Andesita,Pierre d’andésite,Andesite Stone
U015,15,Covachas,Sinqa Samanaka Rumikuna,Alvéoles voûtées,Vaulted Niches
U016,16,"Presiona ""E"" para saber mas","""E"" klikchi kaspaka yachaykunata rikuy","Appuie sur ""E"" pour en savoir plus","Press ""E"" to learn more"
U017,17,Barón de Carondelet,Carondelet Hatun Runa,Baron de Carondelet,Baron of Carondelet
